Month,Region,Category,Orders,AvgUnitPrice,Revenue
2026-03,Wales,Tents & Shelters,27,191.46,5169.51
2026-03,Wales,Backpacks,26,99.77,2594.06
2026-03,Wales,Footwear,30,103.38,3101.43
2026-03,Wales,Clothing,27,49.77,1343.75
2026-03,Wales,Camp Kitchen,33,42.8,1412.33
2026-03,Wales,Navigation & Safety,44,64.02,2816.86
2026-04,North,Tents & Shelters,26,169.0,4393.99
2026-04,North,Backpacks,48,98.73,4739.08
2026-04,North,Footwear,31,113.43,3516.43
2026-04,North,Clothing,40,49.56,1982.44
2026-04,North,Camp Kitchen,40,36.85,1474.11
2026-04,North,Navigation & Safety,20,68.95,1379.04
2026-04,South,Tents & Shelters,69,180.65,12464.61
2026-04,South,Backpacks,85,86.45,7348.6
2026-04,South,Footwear,52,109.04,5670.19
2026-04,South,Clothing,81,58.32,4723.56
2026-04,South,Camp Kitchen,30,40.76,1222.91
2026-04,South,Navigation & Safety,13,76.3,991.91
2026-04,Midlands,Tents & Shelters,68,187.89,12776.78
2026-04,Midlands,Backpacks,39,95.09,3708.54
2026-04,Midlands,Footwear,61,118.74,7243.05
2026-04,Midlands,Clothing,35,57.68,2018.81
2026-04,Midlands,Camp Kitchen,40,37.98,1519.12
2026-04,Midlands,Navigation & Safety,54,71.93,3884.07
2026-04,Scotland,Tents & Shelters,41,184.56,7567.08
2026-04,Scotland,Backpacks,26,90.72,2358.65
2026-04,Scotland,Footwear,48,104.98,5038.93
2026-04,Scotland,Clothing,44,53.02,2332.74
2026-04,Scotland,Camp Kitchen,34,37.85,1286.9
2026-04,Scotland,Navigation & Safety,38,72.72,2763.18
2026-04,Wales,Tents & Shelters,39,176.67,6890.27
2026-04,Wales,Backpacks,36,95.81,3449.15
2026-04,Wales,Footwear,33,108.24,3572.02
2026-04,Wales,Clothing,44,59.45,2615.94
2026-04,Wales,Camp Kitchen,24,42.85,1028.49
2026-04,Wales,Navigation & Safety,31,73.72,2285.27
2026-05,North,Tents & Shelters,44,174.66,7685.19
2026-05,North,Backpacks,46,99.82,4591.54
2026-05,North,Footwear,64,108.22,6925.98
2026-05,North,Clothing,19,57.72,1096.73
2026-05,North,Camp Kitchen,28,37.76,1057.4
2026-05,North,Navigation & Safety,40,66.07,2642.88
2026-05,South,Tents & Shelters,55,174.1,9575.54
2026-05,South,Backpacks,60,98.4,5904.22
2026-05,South,Footwear,50,109.28,5464.13
2026-05,South,Clothing,64,50.9,3257.85
2026-05,South,Camp Kitchen,56,39.15,2192.52
2026-05,South,Navigation & Safety,56,70.9,3970.48
2026-05,Midlands,Tents & Shelters,83,166.89,13851.47
2026-05,Midlands,Backpacks,63,94.27,5939.15
2026-05,Midlands,Footwear,74,103.66,7670.58
2026-05,Midlands,Clothing,64,53.1,3398.1
2026-05,Midlands,Camp Kitchen,60,42.02,2520.96
2026-05,Midlands,Navigation & Safety,42,74.65,3135.17
2026-05,Scotland,Tents & Shelters,45,162.7,7321.4
2026-05,Scotland,Backpacks,50,95.75,4787.45
2026-05,Scotland,Footwear,57,113.3,6458.28
2026-05,Scotland,Clothing,45,58.09,2614.21
2026-05,Scotland,Camp Kitchen,32,43.6,1395.1
2026-05,Scotland,Navigation & Safety,27,65.79,1776.36
2026-05,Wales,Tents & Shelters,52,166.54,8660.29
2026-05,Wales,Backpacks,46,98.22,4518.11
2026-05,Wales,Footwear,37,114.39,4232.36
2026-05,Wales,Clothing,41,57.94,2375.37
2026-05,Wales,Camp Kitchen,54,41.98,2267.1
2026-05,Wales,Navigation & Safety,60,64.6,3876.21
2026-06,North,Tents & Shelters,64,165.89,10617.06
2026-06,North,Backpacks,16,85.99,1375.81
2026-06,North,Footwear,41,120.08,4923.27
2026-06,North,Clothing,68,53.86,3662.7
2026-06,North,Camp Kitchen,47,41.52,1951.67
2026-06,North,Navigation & Safety,43,71.78,3086.6
2026-06,South,Tents & Shelters,88,192.61,16949.73
2026-06,South,Backpacks,82,96.91,7946.44
2026-06,South,Footwear,101,116.22,11738.02
2026-06,South,Clothing,99,53.32,5278.6
2026-06,South,Camp Kitchen,47,40.05,1882.24
2026-06,South,Navigation & Safety,71,67.78,4812.18
2026-06,Midlands,Tents & Shelters,83,165.8,13761.35
2026-06,Midlands,Backpacks,36,103.75,3735.18
2026-06,Midlands,Footwear,41,114.56,4696.99
2026-06,Midlands,Clothing,37,54.29,2008.74
2026-06,Midlands,Camp Kitchen,58,38.16,2213.32
2026-06,Midlands,Navigation & Safety,16,74.31,1189.04
2026-06,Scotland,Tents & Shelters,33,177.68,5863.46
2026-06,Scotland,Backpacks,45,99.39,4472.53
2026-06,Scotland,Footwear,45,117.28,5277.42
2026-06,Scotland,Clothing,76,50.45,3834.45
2026-06,Scotland,Camp Kitchen,56,39.72,2224.19
2026-06,Scotland,Navigation & Safety,41,71.54,2933.33
2026-06,Wales,Tents & Shelters,46,192.63,8861.18
2026-06,Wales,Backpacks,51,88.95,4536.7
2026-06,Wales,Footwear,54,106.49,5750.32
2026-06,Wales,Clothing,73,59.18,4320.4
2026-06,Wales,Camp Kitchen,45,36.08,1623.65
2026-06,Wales,Navigation & Safety,38,76.27,2898.37
2026-07,North,Tents & Shelters,73,179.59,13109.98
2026-07,North,Backpacks,64,99.91,6393.93
2026-07,North,Footwear,44,109.8,4831.12
2026-07,North,Clothing,32,58.22,1863.11
2026-07,North,Camp Kitchen,61,41.53,2533.59
2026-07,North,Navigation & Safety,58,67.29,3902.64
2026-07,South,Tents & Shelters,49,181.11,8874.55
2026-07,South,Backpacks,57,93.58,5334.32
2026-07,South,Footwear,67,114.46,7669.01
2026-07,South,Clothing,50,52.48,2624.0
2026-07,South,Camp Kitchen,68,37.54,2552.77
2026-07,South,Navigation & Safety,78,64.67,5044.55
2026-07,Midlands,Tents & Shelters,36,168.67,6071.95
2026-07,Midlands,Backpacks,60,89.61,5376.68
2026-07,Midlands,Footwear,37,120.49,4457.96
2026-07,Midlands,Clothing,71,55.27,3924.24
2026-07,Midlands,Camp Kitchen,66,37.55,2478.49
2026-07,Midlands,Navigation & Safety,77,66.18,5096.23
2026-07,Scotland,Tents & Shelters,53,181.23,9605.13
2026-07,Scotland,Backpacks,54,90.71,4898.44
2026-07,Scotland,Footwear,71,114.34,8118.37
2026-07,Scotland,Clothing,49,50.89,2493.56
2026-07,Scotland,Camp Kitchen,64,42.98,2750.83
2026-07,Scotland,Navigation & Safety,39,71.04,2770.44
2026-07,Wales,Tents & Shelters,36,168.64,6070.94
2026-07,Wales,Backpacks,55,86.48,4756.19
2026-07,Wales,Footwear,68,117.09,7961.89
2026-07,Wales,Clothing,46,53.91,2479.76
2026-07,Wales,Camp Kitchen,71,36.43,2586.45
2026-07,Wales,Navigation & Safety,61,65.09,3970.41
2026-08,North,Tents & Shelters,36,197.78,7120.12
2026-08,North,Backpacks,42,87.75,3685.52
2026-08,North,Footwear,48,116.4,5587.02
2026-08,North,Clothing,28,51.98,1455.51
2026-08,North,Camp Kitchen,32,39.54,1265.34
2026-08,North,Navigation & Safety,45,75.04,3376.9
2026-08,South,Tents & Shelters,76,184.36,14011.13
2026-08,South,Backpacks,60,97.08,5824.98
2026-08,South,Footwear,58,103.57,6007.14
2026-08,South,Clothing,18,51.82,932.78
2026-08,South,Camp Kitchen,55,37.39,2056.48
2026-08,South,Navigation & Safety,52,64.05,3330.65
2026-08,Midlands,Tents & Shelters,80,183.38,14670.18
2026-08,Midlands,Backpacks,61,91.03,5553.07
2026-08,Midlands,Footwear,64,114.47,7325.81
2026-08,Midlands,Clothing,88,54.49,4795.5
2026-08,Midlands,Camp Kitchen,46,42.3,1945.92
2026-08,Midlands,Navigation & Safety,24,71.75,1722.02
2026-08,Scotland,Tents & Shelters,30,177.31,5319.15
2026-08,Scotland,Backpacks,20,95.85,1916.93
2026-08,Scotland,Footwear,29,117.19,3398.39
2026-08,Scotland,Clothing,23,50.29,1156.57
2026-08,Scotland,Camp Kitchen,53,41.99,2225.56
2026-08,Scotland,Navigation & Safety,57,70.97,4045.23
2026-08,Wales,Tents & Shelters,45,186.79,8405.66
2026-08,Wales,Backpacks,54,98.79,5334.93
2026-08,Wales,Footwear,62,109.86,6811.54
2026-08,Wales,Clothing,41,50.38,2065.78
2026-08,Wales,Camp Kitchen,61,38.58,2353.29
2026-08,Wales,Navigation & Safety,50,66.51,3325.26
